
"Legs · Day 5 · Week 43 · Upper/Lower PPL","2026-03-28 1:00 pm","1:37 hr"
"1. Deadlifts · Barbell · 8 reps"
#,KG,REPS
#,KG,REPS
1,20,12
2,20,12
3,20,12
"3. ISO lateral high row · Machine · 10 reps"
#,KG,REPS
1,30,12
2,30,12
3,30,12
"4. Face Pulls with Rope · Cable · 10 reps"
#,KG,REPS
1,18,15
2,18,15
3,18,15
"5. Curls · Barbell · 12 reps · 1 dropset"
#,KG,REPS
1,25,10
2,25,10
3,25,10
"6. Rowing Machine · Machine"
#,KM,MINS
1,4,20

"Upper · Day 1 · Week 41 · Upper/Lower PPL","2026-02-07 8:47 am","1:10 hr"
"1. Bench Press · Barbell · 8 reps · 2 dropsets"
#,KG,REPS
1,60,6
2,60,6
3,60,5
"2. Triceps Pushdowns · Cable · 15 reps"
#,KG,REPS
1,15,15
2,15,15
3,15,15

"Push · Day 3 · Week 41 · Upper/Lower PPL","2026-01-28 8:08 pm","51 min"
"1. Standing chest press · Machine · 8 reps"
#,KG,REPS
1,40,15
2,40,15
3,40,15
"2. Standing flys · Machine · 10 reps"
#,KG,REPS
1,10,10
2,10,10
3,10,10
"3. Pull-Ups with Close Overhand Grip · Bodyweight · 10 reps"
#,KG,REPS
1,+0,3
2,+0,3
3,+0,3
"4. Standing Shoulder Press · Barbell · 10 reps"
#,KG,REPS
1,30,7
2,30,7
3,30,7
"5. Triceps Pushdowns · Cable · 10 reps"
#,KG,REPS
1,15,15
2,15,15
3,15,15
"6. Rowing Machine · Machine"
#,KM,MINS
1,0.5,2:15
2,0.5,2:15
3,0.5,2:15

"Legs · Day 5 · Week 40 · Upper/Lower PPL","2026-01-25 1:52 pm","1 hr"
"1. Pull-Ups with Wide Overhand Grip · Bodyweight · 10 reps"
#,KG,REPS
1,+0,1
2,+0,1
3,+0,1
"2. Lateral Raises · Machine · 10 reps"
#,KG,REPS
1,10,10
2,10,10
3,10,15
"3. Triceps Pushdowns · Cable · 10 reps"
#,KG,REPS
1,12.5,15
2,12.5,15
3,12.5,15
"4. Face Pulls with Rope · Cable · 10 reps"
#,KG,REPS
1,12,15
2,16.5,15
3,16.5,15
"5. Rowing Machine · Machine"
#,KM,MINS
1,0.5,2:15
2,0.5,2:15
3,0.5,2:15
4,0.5,2:15
5,0.5,2:15
6,0.5,2:15

"Push · Day 3 · Week 40 · Upper/Lower PPL","2026-01-24 11:32 am","1 hr"
"1. Shoulder Press · Machine · 8 reps"
#,KG,REPS
1,20,15
2,20,15
3,20,15
"2. Chest-Supported Low Rows with Neutral Grip · Machine · 10 reps"
#,KG,REPS
1,20,12
2,20,10
3,20,12
"3. Dips · Bodyweight · 10 reps"
#,KG,REPS
1,+0,6
2,+0,6
3,+0,6
"4. Curls · Barbell · 10 reps"
#,KG,REPS
1,20,15
2,20,12
3,20,15

"Lower · Day 2 · Week 40 · Upper/Lower PPL","2026-01-21 8:49 pm","1:08 hr"
