
"Legs · Day 5 · Week 43 · Upper/Lower PPL","2026-03-28 1:00 pm","1:37 hr"
"1. Deadlifts · Barbell · 8 reps"
#,KG,REPS
#,KG,REPS
1,-25,10
2,-25,10
"3. Face Pulls with Rope · Cable · 10 reps"
#,KG,REPS
1,21.25,15
2,21.25,15
3,21.25,15
"4. Bent-Over Rows · Barbell · 10 reps"
#,KG,REPS
1,20,10
2,20,10
3,20,10
"5. Curls · Dumbbells · 12 reps · 1 dropset"
#,KG,REPS
1,28,10
2,28,10
3,28,9

"Push · Day 3 · Week 35 · Upper/Lower PPL","2025-05-27 3:05 pm","49 min"
"1. Bench Press · Barbell · 8 reps · 3 dropsets"
#,KG,REPS
1,65,6
2,65,5
3,65,6
"2. ISO lateral shoulder press · Machine · 10 reps"
#,KG,REPS
1,40,10
